Country,Month,Index,Lines
United Kingdom,2015-06,100.0707,
United Kingdom,2015-07,100.4621,
United Kingdom,2015-08,100.6578,
United Kingdom,2015-09,100.0707,
United Kingdom,2015-10,100.2664,
United Kingdom,2015-11,100.4621,
United Kingdom,2015-12,101.1144,
United Kingdom,2016-01,101.5711,
United Kingdom,2016-02,100.7883,
United Kingdom,2016-03,102.1582,
United Kingdom,2016-04,102.5496,
United Kingdom,2016-05,102.6148,
United Kingdom,2016-06,102.5496,
United Kingdom,2016-07,103.202,
United Kingdom,2016-08,102.8105,
United Kingdom,2016-09,102.8758,
United Kingdom,2016-10,103.3324,
United Kingdom,2016-11,103.6586,
United Kingdom,2016-12,103.0715,
United Kingdom,2017-01,103.3977,
United Kingdom,2017-02,103.9195,
United Kingdom,2017-03,104.5719,
United Kingdom,2017-04,104.5719,
United Kingdom,2017-05,104.7024,
United Kingdom,2017-06,106.0071,
United Kingdom,2017-07,104.8981,
United Kingdom,2017-08,105.42,
United Kingdom,2017-09,106.0071,
United Kingdom,2017-10,105.7461,
United Kingdom,2017-11,106.1375,
United Kingdom,2017-12,106.5942,
United Kingdom,2018-01,106.2028,
United Kingdom,2018-02,106.6594,
United Kingdom,2018-03,108.2251,
United Kingdom,2018-04,106.9204,
United Kingdom,2018-05,107.4422,
United Kingdom,2018-06,108.0294,
United Kingdom,2018-07,108.4208,
United Kingdom,2018-08,109.0079,
United Kingdom,2018-09,109.0079,
United Kingdom,2018-10,110.5083,
United Kingdom,2018-11,109.4645,
United Kingdom,2018-12,110.0516,
United Kingdom,2019-01,110.3778,
United Kingdom,2019-02,110.7692,
United Kingdom,2019-03,111.0302,
United Kingdom,2019-04,110.9649,
United Kingdom,2019-05,111.6173,
United Kingdom,2019-06,112.2044,
United Kingdom,2019-07,112.8568,
United Kingdom,2019-08,112.9872,
United Kingdom,2019-09,113.3786,
United Kingdom,2019-10,112.7915,
United Kingdom,2019-11,112.8568,
United Kingdom,2019-12,112.7915,
United Kingdom,2020-01,113.7048,Covid
United Kingdom,2020-02,113.6396,
United Kingdom,2020-03,112.3349,
United Kingdom,2020-04,108.6165,
United Kingdom,2020-05,108.6817,
United Kingdom,2020-06,109.1384,
United Kingdom,2020-07,111.8782,
United Kingdom,2020-08,114.6181,
United Kingdom,2020-09,115.6619,
United Kingdom,2020-10,116.9666,
United Kingdom,2020-11,118.7932,
United Kingdom,2020-12,118.0103,
United Kingdom,2021-01,118.6627,
United Kingdom,2021-02,118.0756,
United Kingdom,2021-03,115.8576,
United Kingdom,2021-04,119.8369,
United Kingdom,2021-05,120.8154,
United Kingdom,2021-06,120.1631,
United Kingdom,2021-07,121.2068,
United Kingdom,2021-08,122.0549,
United Kingdom,2021-09,122.1854,
United Kingdom,2021-10,122.5116,
United Kingdom,2021-11,123.2944,
United Kingdom,2021-12,125.8385,
United Kingdom,2022-01,125.7081,
United Kingdom,2022-02,126.0995,
United Kingdom,2022-03,129.1655,
United Kingdom,2022-04,126.7518,
United Kingdom,2022-05,126.7518,
United Kingdom,2022-06,128.9046,
United Kingdom,2022-07,129.2308,
United States,2015-06,99.95242,
United States,2015-07,100.0476,
United States,2015-08,100.2854,
United States,2015-09,100.4282,
United States,2015-10,100.8088,
United States,2015-11,100.8563,
United States,2015-12,101.0466,
United States,2016-01,101.3796,
United States,2016-02,101.5224,
United States,2016-03,101.8078,
United States,2016-04,102.0932,
United States,2016-05,102.1408,
United States,2016-06,102.4263,
United States,2016-07,102.6641,
United States,2016-08,102.7593,
United States,2016-09,102.9496,
United States,2016-10,103.2826,
United States,2016-11,103.3302,
United States,2016-12,103.568,
United States,2017-01,103.7583,
United States,2017-02,104.0438,
United States,2017-03,104.0913,
United States,2017-04,104.3292,
United States,2017-05,104.4719,
United States,2017-06,104.7574,
United States,2017-07,104.9952,
United States,2017-08,105.138,
United States,2017-09,105.5186,
United States,2017-10,105.471,
United States,2017-11,105.7564,
United States,2017-12,106.0894,
United States,2018-01,106.5176,
United States,2018-02,106.6603,
United States,2018-03,107.0409,
United States,2018-04,107.1836,
United States,2018-05,107.4691,
United States,2018-06,107.8021,
United States,2018-07,107.9924,
United States,2018-08,108.373,
United States,2018-09,108.706,
United States,2018-10,108.9439,
United States,2018-11,109.372,
United States,2018-12,109.8953,
United States,2019-01,110.0856,
United States,2019-02,110.4662,
United States,2019-03,110.8944,
United States,2019-04,110.942,
United States,2019-05,111.275,
United States,2019-06,111.608,
United States,2019-07,111.9886,
United States,2019-08,112.3692,
United States,2019-09,112.6546,
United States,2019-10,112.9876,
United States,2019-11,113.2731,
United States,2019-12,113.4158,
United States,2020-01,113.7488,Covid
United States,2020-02,114.3197,
United States,2020-03,115.0809,
United States,2020-04,119.5052,
United States,2020-05,118.8392,
United States,2020-06,117.9353,
United States,2020-07,117.5071,
United States,2020-08,118.0304,
United States,2020-09,117.9829,
United States,2020-10,118.1732,
United States,2020-11,118.5538,
United States,2020-12,119.7907,
United States,2021-01,119.7907,
United States,2021-02,120.1713,
United States,2021-03,120.5994,
United States,2021-04,121.2655,
United States,2021-05,122.1218,
United States,2021-06,122.7878,
United States,2021-07,123.5014,
United States,2021-08,124.1675,
United States,2021-09,124.9286,
United States,2021-10,125.6898,
United States,2021-11,126.3083,
United States,2021-12,127.2122,
United States,2022-01,127.8306,
United States,2022-02,128.2112,
United States,2022-03,128.7345,
United States,2022-04,129.3054,
United States,2022-05,129.9715,
United States,2022-06,130.5899,
United States,2022-07,131.1608,
