Country,Rank,Number of Universities
United States,0-100,56
United Kingdom,0-100,8
Australia,0-100,7
Canada,0-100,6
China,0-100,4
Netherlands,0-100,3
Switzerland,0-100,3
Germany,0-100,2
Hong Kong,0-100,2
Belgium,0-100,2
Singapore,0-100,2
Brazil,0-100,1
Finland,0-100,1
Japan,0-100,1
Norway,0-100,1
Denmark,0-100,1
United States,101-200,36
United Kingdom,101-200,11
Australia,101-200,3
Canada,101-200,5
China,101-200,7
Netherlands,101-200,3
Switzerland,101-200,2
Germany,101-200,6
Hong Kong,101-200,1
Belgium,101-200,0
Singapore,101-200,0
Brazil,101-200,0
Finland,101-200,0
Japan,101-200,1
Norway,101-200,2
Denmark,101-200,2
United States,201-500,60
United Kingdom,201-500,24
Australia,201-500,13
Canada,201-500,13
China,201-500,29
Netherlands,201-500,5
Switzerland,201-500,2
Germany,201-500,27
Hong Kong,201-500,1
Belgium,201-500,3
Singapore,201-500,0
Brazil,201-500,5
Finland,201-500,5
Japan,201-500,10
Norway,201-500,1
Denmark,201-500,2
United States,501-1000,101
United Kingdom,501-1000,36
Australia,501-1000,12
Canada,501-1000,9
China,501-1000,60
Netherlands,501-1000,2
Switzerland,501-1000,3
Germany,501-1000,19
Hong Kong,501-1000,1
Belgium,501-1000,3
Singapore,501-1000,2
Brazil,501-1000,8
Finland,501-1000,3
Japan,501-1000,12
Norway,501-1000,2
Denmark,501-1000,1
