Country,rnd (% of GDP 3-yr avg),docs_per_pop_mln
China,2.139223337,608.9184061
United States,2.947956642,2189.110253
United Kingdom,1.667346676,3621.037038
Germany,3.049530029,2502.642012
Italy,1.390540004,2610.469746
Japan,3.202020009,1151.942751
Canada,1.656889995,3419.589779
France,2.205896695,1892.408803
Australia,1.876456658,4874.284294
Russian Federation,1.083103339,863.364353
Spain,1.228056669,2587.494662
"Korea, Rep.",4.299096584,1965.257391
Brazil,1.232153296,466.9750561
"Iran, Islamic Rep.",0.710496654,879.6972347
Netherlands,2.169660012,4238.682114
Turkiye,0.964633346,792.0929519
Poland,1.119190017,1610.400835
Switzerland,3.074699958,6587.192024
Sweden,3.32313331,4826.316453
Belgium,2.751610041,3569.237585
"Egypt, Arab Rep.",0.745046656,353.7454653
Pakistan,0.227759997,158.4298384
Portugal,1.319399992,3442.469148
Denmark,2.95807004,5969.198186
Mexico,0.347196669,265.6877261
Austria,3.078656674,3696.60009
South Africa,0.703096668,555.9479094
Norway,2.062489986,5503.372582
"Hong Kong SAR, China",0.840936641,3904.574335
Czechia,1.871056676,2618.846097
Israel,4.686023394,2909.333618
Singapore,1.987936656,4856.638757
Greece,1.131330013,2453.195926
Thailand,0.920106669,351.2236397
Finland,2.798886617,4536.892776
Ireland,1.221399983,4197.954965
New Zealand,1.327483336,3847.850701
Chile,0.359203339,1007.429058
Ukraine,0.499133339,442.0127439
Vietnam,0.499863337,188.5849154
Romania,0.489973347,923.0183453
Colombia,0.316066672,335.4455214
Argentina,0.545353333,373.9460501
Iraq,0.03953,390.457098
Hungary,1.377786676,1468.708557
